fid,id,open_date,name,location,lat,lon,threat,tags,commodity,measure_skim,measure_shore,measure_bio,measure_disperse,measure_burn,max_ptl_release_gallons,posts,description
1066,10513,2022/09/02,"Mystery Sheen off Old Orchard Beach, ME","Offshore Old Orchard Beach, ME",43.33333333,-69.78333333,Oil,,,,,,,,,0,"On September 2, 2022, USCG Sector Northern New England notified the NOAA SSC that they had received 3 separate reports from commercial pilots flying into the Portland Jetport of a black and rainbow sheen approximately 24 NM southeast of Old Orchard Beach Pier. The sheen was approximately 1NM long and .5NM wide. One pilot was able to take photographs. The USCG requested a hindcast to check if the source could be a potential historic wreck."
1068,10508,2022/08/15,"Leaking Flow Line Discharge of Crude Oil into Tabbs Bay, Baytown, TX","Baytown, TX, USA",29.70944444,-94.98083333,Oil,,Crude oil,,1,,,,420,0,"On August 15, 2022,  a leaking flow line discharged an estimated 420 gallons of crude oil into Tabbs Bay, Baytown, Texas.  Sector Houston-Galveston contacted the NOAA SSC to request input on response methods for shoreline oiling, information on resources at risk, and an informal trajectory.  SSC relayed information verbally, followed by an email.  OSROS are on site and the source is secure."
1069,10510,2022/08/11,"Suspected Discharges Occurring in Espiritu Santo Bay, TX","Port O'Connor, TX, USA",28.36222222,-96.4825,Oil,,Crude Oil,,,,,,,0,"On August 11, 2022, the USCG Marine Safety Detachment (MSD) in Victoria, Texas, contacted NOAA SSC to request satellite imagery support for suspected discharges occurring in Espiritu Santo Bay, Texas in the time periods between July 29 and August 2 and 1 August and 5 August 2022.  NOAA SSC relayed the request to the NOAA Satellite Analysis Branch (SAB).  SAB identified an anomaly and produced a Marine Pollution Surveillance  Report (MPSR) on August 16, 2022 and the NOAA SSC provided the MPSR to MSD Victoria."
1070,10502,2022/08/08,"Oil Platform Collapse, with Two Storage Tanks Compromised, Terrebonne Bay, LA","Terrebonne Bay, LA",29.11388889,-90.48388889,Oil,,crude oil,,,,,,13944,1,"On August 8,  2022, pilings on Hilcorp Energy platform #2 in Terrebonne Bay gave way causing part of the platform to collapse. Two oil storage tanks are compromised.  The USCG requested trajectory and Resources at Risk."
1072,10493,2022/07/09,"50-foot Sport Fishing Vessel Sinking, Pensacola Beach, FL","Pensacola Beach, FL, USA",30.295361,-87.298722,Oil,,diesel,,,,,,750,2,"On July 9, 2022, the USCG Sector Mobile contacted the NOAA SSC regarding an incident involving a sinking 50-foot fishing vessel ""SLOW MOTION"" with approximately 750 gallons of diesel aboard.   The vessel is located about 2 miles south of Fort Pickens, FL.  The USCG requested a trajectory and fate of a worst-case discharge of 750 gallons of diesel.USCG News Release:The Coast Guard rescued nine boaters from the water after their vessel became submerged approximately two miles south of Pensacola Pass, Florida, Saturday.Watchstanders at Coast Guard Sector Mobile received a mayday call at 10:47 a.m. from the 50-foot Sport Fisher Slow Motion. The recreational vessel reportedly ran aground, with all nine boaters aboard abandoning the vessel. Watchstanders diverted a 45-foot Response Boat — Medium boatcrew from Coast Guard Station Pensacola that was already patrolling the area.The Pensacola boatcrew arrived on scene at 10:56 a.m., recovered all nine people out of the water and transported them back to Big Lagoon State Park in Pensacola. All nine boaters were reported with no medical concerns.For more information follow us on Facebook and Twitter.-USCG-"
1074,10488,2022/06/30,"Request for Ballast Water Discharge from Deep-Sea Semi-Submersible Rig, Ingleside, TX","Ingleside, TX, USA",27.850425,-97.23586944,Other,,Ballast Water and CRW3448 Corrosion Inhibitor,,,,,,8400000,0,"On June 30, 2022, Sector Corpus Christi requested NOAA SSC support in reviewing a request to discharge ballast water from a deep-sea semi-submersible rig that has been grounded at Kiewit Offshore Services in Ingleside, Texas."
1075,10487,2022/06/24,"72-foot Motor Vessel Fire and Salvage, Portsmouth, NH","Portsmouth, NH",43.0311,-70.6836,Oil,,diesel,,,,,,1800,1,"On June 18 the 72' MV TOO ELUSIVE caught fire off Portsmouth, NH. The vessel ended up sinking approximately. 1.5nm SE of the coast of Portsmouth. A diesel sheen was seen at the time, but did not last long. The NOAA SSC was contacted by Maine DEP and the USCG on June 25 and briefed on salvage operations. NWS began providing site specific weather forecasts on June 29 for June 30 salvage. No additional information is requested at this time."
1076,10483,2022/06/23,"Crude Oil Discharge from Platform, Breton Sound, LA","Breton Sound, LA",29.5641,-89.3358,Oil,,crude,,,,,,20,0,"On June 23 2022, USCG Sector New Orleans IMD notified SSC of a 20-gallon crude oil spill discharge in Main Pass 21. Discharge has been secured and WCC Energy Group is the owner-operator. The location of the platform is 29.5641N, -89.3358W, in Breton Sound. Reported 2-mile x 600 feet silver sheen with 25 ft x 50 ft dark oil in the center. USCG requested a trajectory for discharge. USFWS was notified and was provided the NOAA trajectory. Based on current information we do not anticipate shoreline impact from this spill."
1077,10472,2022/06/15,"E-Crane Barge Sunk While in Tow, Louisiana Coast, Gulf of Mexico","LA, Gulf of Mexico",29.5348704698644,-92.5729981809855,Oil,,lube and diesel,,,,,,2600,0,"On June 15, 2022,  the E-Crane barge AMBITION sank approximately 18 miles south of the Louisiana coast while in tow.  A 200ft sheen was reported.  The worst-case discharge is 1,800 gallons of diesel and 800 gallons of lube oil. The USCG requested NOAA prepared a trajectory for a potential worst-case discharge."
1078,10473,2022/06/03,"Cedar Bayou Abandoned Tugs; Baytown, TX, USA","Baytown, TX, USA",29.73611111,-94.93063889,Oil,,Oil,,,,,,84,0,"On June 3, 2022, Sector Houston-Galveston contacted NOAA SSC to request support for ESA and EFH consultation about two abandoned tugs, the Patrick E. (N22027) and the Miss Edna D (N22028).  Both tugs contained oil in the engine room which was discharging into Cedar Bayou.  Case was Federalized.  Phone support provided."
1081,10465,2022/05/25,"90-foot Motor Yacht Sinking, Virginia Beach, VA","Virginia Beach, VA, USA",36.6519631528582,-75.8702087402344,Oil,,Diesel Fuel,,,,,,1400,0,"On 25 May 2022, the USCG Sector Virginia notified the NOAA SSC that a 90-foot motor yacht was taking on water and likely to sink just south of Virginia Beach, Virginia. The vessel has 1400 gallons of diesel fuel onboard. Sector requested trajectory and resources at risk."
1082,10463,2022/05/23,"Barge on Fire after Lightning Strike, Delaware Bay, NJ","Downe, NJ, USA",39.13,-75.18,Other,,Recycled metal,,,,,,,0,"On 23 May 2022, USCG Sector Delaware Bay notified the NOAA SSC that a barge loaded with scrap metal was on fire as a result of getting struck by lightning during a storm event on Sunday evening, 22 May 2022. Marine fire fighting teams are on-scene. USCG Sector Delaware Bay has requested technical and scientific support from SSC."
1083,10462,2022/05/21,"Vessel Fire/Sinking About 4 Miles Offshore of Gulfport, MS","MS, USA",30.3125,-89.01733,Oil,,,,,,,,,0,"On 21 May 2022 USCG Sector Mobile contacted the NOAA SSC regarding a vessel fire and sinking about 4 miles offshore of Gulfport, MS in MS Sound. SSC provided fate and forecast for the potential discharge of 600 gallons of diesel."
1085,10454,2022/05/06,"Fishing Vessel Sinks in Vicinity of Dickinson Bay, Texas City, TX","Texas City, TX, USA",29.47383333,-94.9015,Oil,,,,,,,,,0,"On May 6, 2022, the USCG MSU Texas City contacted the NOAA SSC regarding the sunken fishing vessel (F/V) Dena Mae in the vicinity of Dickinson Bay.  There was a reported maximum volume of 70-80gal of diesel on board, with a barely discernible silver sheen observed on scene. The USCG requested potential resources at risk from NOAA."
1088,10429,2022/03/16,"Floating Humpback Whale Carcass off of Carolina Beach, NC","Carolina Beach, NC, USA",34.0313228508262,-77.8303431160748,Other,,,,,,,,,0,"On March 16, 2022, the Gulf of Mexico Marine Mammal Disaster Response Coordinator notified the NOAA SSC about a floating Humpback Whale carcass floating offshore of Carolina Beach, North Carolina. The Response Coordinator requested a trajectory to possibly determine the likelihood of this carcass coming ashore."
1089,10428,2022/03/15,Containership Grounded off Gibson Island in Chesapeake Bay,"Gibson Island, MD, USA",39.07,-76.41,Oil,,Oil,,,,,,800000,3,"On 15 March 2022, USCG Sector Maryland NCR notified the NOAA SSC that at approximately 9:00pm on Sunday, 13 March the Ever Forward, a containership grounded off of Gibson Island in the Chesapeake Bay. The vessel has remained stranded since then. The ship is outside the main shipping channel. There is no damage, injuries or pollution at this time."
1090,10423,2022/03/02,"Ethanol Release in Port of Palm Beach, FL","Riviera Beach, FL, USA",26.768562,-80.0497,Other,,,,,,,,,0,"Om March 2, 2022, the USCG notified the NOAA SSC that approximately 6500 gallons of ethanol had spilled in the Port of Palm Beach Florida. Discussions with the State of Florida SSC provided that the Department of Environmental Protection had confirmed the ethanol was a food grade product. The SSC was asked to provide information pertaining to the fate and effects of the product, any resource concerns and potential movement of the product following the spill."
1091,10419,2022/02/15,"Abandoned Well Discharging Gas and Condensate, East Cameron, Offshore Louisiana",Offshore Lousiana,29.64388889,-92.89,Oil,,,,,,,,,0,"On February 15, 2022, the USCG Marine Safety Unit (MSU) Lake Charles contacted NOAA SSC about an abandoned well that was discharging gas and condensate.  The amount being discharged is unknown. A silvery sheen of approximately 1 mile in length was reported.  MSU LKC requested information about the fate and effects of condensate, NOAA SSC provided information over the phone.  A CG field team is investigating."
1093,10417,2022/02/08,"Discharge of Crude Oil from Transfer Pipeline, Southwest Pass Area, LA","SW Pass, Mississippi River Delta",29.0375,-89.28138889,Oil,,,,,,,,,0,"On February 8, 2022, the NOAA Regional Response Officer (RRO) was contacted by USCG Sector New Orleans regarding a discharge of crude oil from a transfer pipeline in the vicinity of Southwest Pass.  The discharge was discovered when the responsible party (RP) was assessing repairs to the pipeline and noticed an oil sheen. The estimated total discharge is 26 gallons. The location is outside of Louisiana wildlife managed areas and in open water. The NOAA SSC provided verbal resources at risk analysis. The pipeline is reported secured and no further action is required at this time."
1094,10413,2022/02/04,"Tug Sea Eagle aground Deerfield Beach, FL","Deerfield Beach, FL",26.3164978312844,-80.0745820999146,Oil,,,,,,,,,0,"On February 4, 2022, the USCG contacted the SSC with notification that a tug was aground at the pier at Deerfield Beach FL. The vessel has 10000 gallons of diesel fuel aboard. Resolve, a local contract salver is responding and hopes to remove fuel from the vessel. USCG requested the fate and properties of the oil in case of a release."
1095,10411,2022/02/01,"Sunken Fishing Vessel Leaking Diesel Off Coast of Marshfield, MA","Scituate, MA, USA",42.15333333,-70.68783333,Oil,,Marine Diesel,,,,,,1000,3,"On February 2, 2022, the USCG Sector Boston notified the NOAA SSC of a sunken fishing vessel approximately 1 nm off the coast of Marshfield, MA. An estimated 2,000 gallons of diesel was on board when the vessel sank.  A USCG overflight showed a visible sheen approximately 1/2mile in length. Sector Boston has requested a trajectory."
1096,10409,2022/01/28,"Vessel Grounding, Ocracoke, NC","Ocracoke, NC",35.06674,-76.00117,Oil,,,,,,,,,0,"On January 28, 2020, the USCG Sector North Carolina notified the NOAA SSC that the ""VIVENS AQUA, a 55 ft yacht grounded on the south point of Ocracoke Island, North Carolina. The vessel contains over 700 gallons of diesel fuel onboard. No pollution reported at this time. CG requested a trajectory model and informal ESA coordination."
1097,10403,2022/01/10,"Spill from Quarter North Oil Well, Louisiana, Gulf of Mexico","LA, Gulf of Mexico",28.97055556,-89.50027778,Oil,,,,,,,,,0,"On January 10, 2022, the USCG Sector New Orleans Incident Management Division (IMD) received notification of a discharge of crude oil and natural gas from a Quarter North well into the Gulf of Mexico.  The well and platform were damaged by Hurricane Ida last year. NOAA provided an initial fate & trajectory."
1098,10402,2022/01/09,"Fishing Vessel Grounded, Sandy Hook, NJ","Middletown Township, NJ",40.4776684182654,-74.0184704773128,Oil,,Diesel Fuel,,,,,,500,0,"At 0900 on 9 January 2022, USCG Sector New York notified the NOAA SSC that a 45 foot sport fishing vessel, the ""Time Out"", broke loose from its mooring and grounded on Sandy Hook National Park. Vessel reportedly had approximately 500 gallons of diesel fuel on board. Vessel is intact and no report of any discharge. Owner has submitted a salvage plan to USCG. No products requested."
1099,10389,2021/11/30,"Southern Louisiana Oil Platform Breton Sound Release; LA, Gulf of Mexico","LA, Gulf of Mexico",29.465,-89.16666667,Oil,,,,,,,,,0,"On November 30, 2021, a USCG Sector New Orleans Auxillary overflight discovered a crude oil slick originating from a Southern Louisiana Oil platform in close proximity to North Breton Island. The slick was estimated to be 2nm long and 1/2nm wide. An estimated 50 gallons of oil has been released.  USCG requested fate and trajectory."
1100,10387,2021/11/25,"Crude Oil Spill within Delta National Wildlife Refuge, Venice, LA","Venice, LA, USA",29.27638889,-89.24555556,Oil,,,,,,,,,0,"On November 22, 2021, the Texas Petroleum Investment Company (""TPIC"") reported an unknown amount of crude oil released into an unnamed canal in the vicinity of Romere Pass within the Delta National Wildlife Refuge. The flowline is shut in and the release is secured.   USCG is working closely with USFWS refuge personnel to determine the appropriate response strategies.  NOAA is providing remote support."
1101,10384,2021/11/19,"Sinking Tow Boat off of Chincoteague, VA","Broadwater, VA, USA",37.3216653295112,-75.6698958389461,Oil,,Diesel Fuel,,,,,,17500,0,"On November 19, 2021, USCG Sector Virginia received an emergency call from the Tugboat LYNX that the vessel was taking on water while towing an empty 80-foot long gasoline barge 32 miles east of Chincoteague, VA. The tug boat has 17,300 gallons of diesel on board.  The tugboat remains afloat, under its own power, and is currently located 24 NMI northeast of the entrance to Chesapeake Bay."
1102,10378,2021/11/02,"FV Mattie and Maren; 6G54+22 New Shoreham, RI, USA","6G54+22 New Shoreham, RI, USA",41.2075889818102,-71.4949035644531,Oil,,,,,,,,,0,"The USCG Sector SNE contacted the New England SSC at 0823 on 2 Nov requesting trajectory and fate analysis for a potential fishing vessel that caught fire and sank 2 NM east of Block Island, RI."
1103,10371,2021/10/21,"F/V Caressa Mae Ocracoke Inlet, NC; 3XFH+5M Ocracoke, NC, USA","3XFH+5M Ocracoke, NC, USA",35.07297222,-76.02086111,Oil,,Diesel Fuel,,,,,,2000,0,"At 3:45 pm on 21 October 2021, USCG Sector North Carolina notified the NOAA SSC that the F/V Caressa Mae, an 88 ft steel hull vessel with 5,000 gallons of diesel fuel on board lost power and went aground in Ocrakoke Inlet. USCG has requested a trajectory."
1105,10365,2021/10/07,"Abandoned Platform - High Island Block 10; Offshore Texas",Offshore Texas,29.56027778,-93.99805556,Oil,,oil,,,,,,,0,"On October 7, 2021 MSU Port Arthur IMD contacted NOAA SSC to request NESDIS imagery of an abandoned platform discharging oil in High Island Block 10.  Platform is dripping oil creating a rainbow sheen.  No imagery was available for the time of interest, NESDIS will monitor as images come available (10/10-11)."
1106,10354,2021/09/13,"Guilford CT boat wreck; New Haven County, CT, USA","New Haven County, CT, USA",41.22583333,-72.5915,Oil,,,,,,,,,0,"On September 13, 2021, the USCG Sector Long Island Sound, New Haven, contacted the NOAA SSC on the morning of September 13 requesting trajectory information for a potential 200 gallon diesel spill in Long Island Sound. A fate analysis and trajectory model was run by the New England SSC and shared with USCG."
1107,10340,2021/08/21,"Hurricane Henri,  Eastern Long Island and Connecticut",Eastern Long Island and Connecticut,40.8609100489788,-72.48779296875,Other,,,,,,,,,1,"On August 21, 2021, In anticipation of Hurricane Henri making landfall along the southeastern coast of Long Island, NY and then again making landfall along the Connecticut shoreline,  a Hot Line has been created for tracking purposes."
1109,10330,2021/08/04,"Overturned Barge Charleston Harbor Yacht Club; 527 Wampler Dr, Charleston, SC 29412, USA","527 Wampler Dr, Charleston, SC 29412, USA",32.75494,-79.910465,Oil,,,,,,,,,1,"On August 4, 2021, the USCG Sector Charleston notified the Scientific Support Coordinator that a 120-foot barge was overturned at the Charleston yacht club. The barge is actively releasing fuel. Total fuel onboard is 1000 gallons of diesel and 65 gallons of hydraulic fuel. Sorbent boom is deployed at the barge and additional response assets are en route. USCG requested fate and trajectory information."
1110,10304,2021/06/28,"Mystery Spill- Back Bay Biloxi; Biloxi, MS, USA","Biloxi, MS, USA",30.41772,-88.866577,Oil,,oil,1,1,,,,50,0,"On 28 JUN USCG Sector Mobile IMD notified SSC of a mystery spill in the vicinity of Biloxi Back Bay. Approximately 500 feet of shoreline (marsh) impacted by dark oil (possibly motor oil, lube oil). No known source identified. USCG opened the Fund (OSLTF) and hired a local contractor (E3). Spill contained and cleanup ongoing. SSC is advising on cleanup techniques."
1111,10303,2021/06/25,"Mystery Sheen Main Pass Blk 69; Gulf of Mexico, LA, USA","Gulf of Mexico, LA, USA",29.24833333,-89.08833333,Oil,,,,,,,,,0,"On June 23, 2021, USCG Sector New Orleans received a report of  9 mile-long silver and rainbow sheen in Main Pass Block, several miles to the east of Delta National Wildlife Refuge at  29 14.9N, 089 05.3W.  On June 25, 2021,  the sheen was reported to be 2nm long. The Responsible Party has not yet been identified and the release is not yet secure. NOAA provided a trajectory and resources at risk."
1113,10295,2021/06/13,"Fieldwood Energy Sheen Main Pass 61; Gulf of Mexico",Gulf of Mexico,29.32,-88.99,Oil,,,,,,,,,0,"On 13JUN2021,  SSC called USCG Sector New Orleans about some NESDIS reported sheen which was progressively getting bigger in main pass 61. Sector New Orleans confirmed Fieldwood Energy as the responsible party, the product originated for a pipeline and is not recoverable."
1115,10291,2021/06/02,MV Deliverance,"Offshore, Charleston, South Carolina",32.81022222,-79.62355556,Oil,,,,,,,,,0,"On June 2, 2021, the NOAA SSC received a call for the MV Deliverance, a 57 foot yacht, on fire ~5 miles off the coast of South Carolina, near Charleston. The vessel had been on fire for approximately 3 hours—the fire was reported extinguished around 1100 local. The crew was safely rescued.  The vessel was reported to have 1200 gal diesel on board, before the fire. A trajectory and resources at risk have been requested."
1116,10289,2021/06/02,"Newark Motor Oil Release; Passaic River, Newark, NJ","Passaic River, Newark, NJ",40.7380552878901,-74.1422009468079,Oil,,Oil,1,,,,,60000,0,"At 0800 on 2 June, 2021, USCG Sector New York notified the NOAA SSC that they were responding to a motor oil spill from a bladder lined shipping container in Newark, NJ. An estimated 6,000 gallons of motor oil was spilled with an estimated 1,000 gallons entering the Passaic River. Sector New York requested NOAA SSC to provide recommendations on response tactics, a description of potential resources at risk."
1117,10288,2021/05/27,"Sunken Fishing Vessel; Charleston County, SC, USA","Charleston County, SC, USA",32.71277778,-79.86516667,Oil,,,,,,,,,0,"On May 27, 2021, the USCG Sector Charleston notified the NOAA SSC about a sunken fishing vessel ""Miss Kim"" approximately 1/2 mile offshore. The unnamed 35 foot fishing vessel is completely submerged in shallow water, with an estimated 120 gallons of diesel on board. A trajectory forecast has been requested."
1118,10286,2021/05/25,MV Kite Bay,"Morehead City Inlet, NC",34.7011655875565,-76.6723251377698,Oil,,Oil,,,,,,111000,0,"At 4:30pm on 25 May 2021, USCG Sector North Carolina notified the NOAA SSC that the 590 ft long bulk carrier, Kite Bay, grounded outside on the Morehead City Inlet. The vessel has 111,000 gallons of fuel and 11,000 gallons of lube oil on board, though nothing has spilled at this time. USCG requested trajectory."
1120,10275,2021/05/04,"Cooper River Mystery Sheen; 1005 Kinzer St, North Charleston, SC 29405, USA","North Charleston, SC",32.8795871730663,-79.9675941467285,Oil,,,,,,,,,0,USCG Sector Charleston contacted the SSC at 1430 to report a significant sheen reported and observed in the Cooper River in the area of the North Charleston terminal. The initial report came in at approximately 0700 on 04 May 2021. The sheen source has not been identified yet. USCG reports dolphins have been observed in the vicinity of the sheen. No additional information was available for the initial notification. Updates will be submitted when received.
1122,10273,2021/04/30,"Cox Well P&A Release; Gulf of Mexico",Gulf of Mexico,29.02305556,-90.27055556,Oil,,Oil,,,,,,,0,"On April 30, 2021, the USCG MSU Houma Incident Management Division (IMD) contacted NOAA SSC to report a wellhead leak. It was reported that the responsible party Cox Operating facility was conducting a plug and abandon (P&A) operation. The rate of release and maximum potential release is unknown at this time. MSU Houma requested a worse case discharge trajectory."
1123,10272,2021/04/28,"CFV GOL TIRANT Fire and Grounding; Gulf of Mexico, LA, USA","Gulf of Mexico, LA, USA",29.41761111,-89.17872222,Oil,,,,,,,,,0,"On April 28, 2021, the USCG notified the NOAA SSC of a 74ft commercial fishing vessel, GOL TIRANT, on fire less than 5 miles south of Breton Island. The vessel has a max of 3,500 gal diesel onboard.  1mile sheen to the NNE reported.  USCG requesting fate and trajectory."
1124,10270,2021/04/27,"MV TIRRANNA Vessel Grounding, Cape Charles, Virginia; Northampton County, VA, USA","Northampton County, VA, USA",37.1384245342268,-76.0501098632812,Oil,,Oil,,,,,,,0,"On 27 April 2021, USCG Sector Virginia notified the NOAA SSC that a 760 foot long Norwegian flagged car carrier grounded just offshore Cape Charles, Virginia, No pollution reported at the time of notification. Vessel grounded due to loss of steering. No products or assistance requested of NOAA SSC at this time."
1125,10269,2021/04/25,"M/V Pepin Express; )ffshore Pompano Beach, FL",")ffshore Pompano Beach, FL",26.184046,-79.8576166,Oil,,,,,,,,,0,"On April 25, 2021, the USCG Sector Miami contacted the ORR duty officer to request a trajectory for the M/V Pepin Express. The vessel had lost power and was adrift 15 miles of Pompano Beach, FL with reportedly 10000 gallons of diesel fuel on board."
1126,10266,2021/04/15,"M/V Carolina Dock & Marine; Charleston, SC","Charleston, SC",32.76574,-79.9813889,Oil,,,,,,,,,0,"On April 15, 2021, the USCG Sector Charleston requested response support for an unnamed marginal sectional causeway barge (a 100-foot self-propelled barge) that began sinking on 13 March and then submerged on 26 March in the Wahoo Creek, Charleston, SC. The USCG reports there was hydraulic oil, diesel oil, and motor oil onboard. USCG has requested assistance with preparing resources at risk and consultation documents."
1127,10265,2021/04/13,"SEACOR Power Response; LA, Gulf of Mexico","LA, Gulf of Mexico",29.0065,-90.20488889,Oil,,,,,,,,,5,"On April 13, 2021, the USCG Sector Nola received report of a capsized 129' lift vessel approximately 7NM south of Port Fourchon in MSU Houma COTP Zone.  The prime focus is on Search and Rescue. The vessel is carrying diesel fuel. The USCG requested oil trajectory. No shoreline impact anticipated."
1128,10264,2021/04/09,"M/V Round III Chandeleur Islands; LA, USA","LA, USA",29.85825,-88.83276667,Oil,,,,,,,,,0,"On April 9, 20291, the USCG notified the SSC of a grounded motor vessel (M/V) on the Chandeleur Islands, LA on 9 April. No discharge reported.  SSC providing assistance on BMPs and coordination with USFWS. The crew of the vessel was safely recovered.  The ROUND III is reported to have a pollution potential of 600 gallons of diesel fuel onboard."
1129,10259,2021/03/27,"F/V Captain 72 Aground; Offshore Cameron Parish, LA","Offshore Cameron Parish, LA",29.68052778,-92.88705556,Oil,,Marine diesel fuel,,,,,,500,0,"On March 26, 2021, the F/V Captain 72 struck a submerged object and began taking on water, eventually settling just offshore of Cameron Parish, LA.  All three crew members on board were safely removed from the vessel.  The vessel was carrying approximately 500 gallons of marine diesel fuel ( NRC #1301360).  It was inbound, with a catch of shrimp.  A sheen was noted on the water when the crew was removed. MSU Lake Charles contacted the NOAA SSC and requested fate and trajectory."
1130,10257,2021/03/23,"St Johns South Jetty Barge Grounding; Jacksonville, FL","Jacksonville, FL",30.376,-81.45183333,Other,,,,,,,,,0,"On March 23, 2021, The barge Bridgeport grounded 1 nm south of the entrance channel to the St Johns River. Early reports received indicate the barge was holed and was taking on water. The barge is unmanned and has 930 gallons of diesel fuel onboard for operation of machinery. The cargo onboard is reported to be 28 million pounds of fly ash (also 14383.53 short tons or 28757060 pounds). The USCG has a CG Cutter on scene to maintain a safety zone. One  tug ist onscene  and another is enroute. It is reported that the pilot will not allow inbound or outbound shipping until the barge is removed. Salvers are enroute."
1132,10254,2021/03/17,"Mystery Spill SW Pass; Gulf of Mexico",Gulf of Mexico,28.841167,-89.403667,Oil,,,,,,,,,0,USCG contacted NOAA SSC on 17 MAR 2021 for assistance in identifying the source of a mystery sheen near SW pass.  SSC recommended a satellite imagery analysis request be sent to NESDIS. NESDIS generated an MPSR identifying both the anomaly and suspect vessel.
1133,10250,2021/03/16,"Buckeye Gasoline Spill, Linden, NJ; Staten Island, NY","Staten Island, NY",40.6181222422551,-74.2037200927734,Oil,,,,,,,,,0,"On 16 March 2021, USCG Sector New York and NJDEP notified the NOAA SSC about a pipeline gasoline spill that occurred at the Buckeye Oil Terminal, Linden, New Jersey. Sheen reported in creek leading to the Arthur Kill waterway. USCG, NJDEP and OSRO on-scene."
1134,10241,2021/02/28,"Right Whale Carcass Trajectory, South Carolina; United States",United States,33.6877817584394,-78.5494995117188,Other,,,,,,,,,0,"On 28 February 2021, NOAA Fisheries, Miami, Florida, notified the NOAA SSC that a North American Right Whale carcass was observed drifting off Myrtle Beach, SC. NOAA Fisheries requested a trajectory to try and relocate the carcass."
1135,10229,2021/02/10,"S2 Energy MP 21 Spill; Breton Sound LA, USA","Breton Sound LA, USA",29.5585,-89.33583333,Oil,,,,,,,,,0,"On February 10, 2021, the USCG notified the NOAA SSC of a release of crude oil on February 9, 2021, from an S2 Energy platform in Main Pass 21 due to a saltwater pump malfunction. Approximately  3.5 bbl of crude released into Breton Sound, Louisiana, resulted in a 1mi x 200yds slick.  USCG requested fate and trajectory."
1136,10218,2020/12/30,"Overdue Vessel, Freeport, Bahamas; Atlantic Ocean",Atlantic Ocean,26.6106860953885,-79.3902037292719,Other,,,,,,,,,0,"On December 30, 2020, NOAA ERD opened a hotline to document support to BASRA  (Bahamas Air Sea Rescue Association) for a Search and Rescue effort in the Bahamas."
1137,10212,2020/12/21,"Yuma Energy Main Pass Block 4 Wellhead; Breton Sound, LA, USA","Breton Sound, LA, USA",29.68961111,-89.35994444,Oil,,,,,,,,,0,"On December 21, 2020, NOAA opened this hotline for an incident that began on October 26, 2020.  The USCG has received reports of intermittent sheening from inactive Yuma wellhead serial #207985 since Hurricane Zeta made landfall, 26 Oct 2020. Well is located in Breton Sound, LA. The leak is a steady drip of oil and water mixture above the waterline resulting in a light silver to rainbow sheen. No shoreline impacts observed to date. Yuma filed Chapter 7 bankruptcy in October and is unable to take response actions. LADNR has entered the well into their Orphaned/Abandoned well program and contracted an OSRO to deploy boom. NOAA providing fate/trajectory and resources at risk as requested."
1138,10210,2020/12/11,"Lucky Angel- 75ft fishing vessel; offshore Horn Island, Gulf of Mexico","offshore Horn Island, Gulf of Mexico",30.0183334,-88.661914,Oil,,diesel,,,,,,10000,0,"On December 12, 2020, the USCG Sector Mobile contacted the NOAA SSC regarding an incident involving a 75ft steel hull fishing vessel (Lucky Angel) with approximately 10,000 gallons of diesel that caught fire and sank approximately 10 miles south of Horn Island (off MS Coast, Gulf of Mexico).  USCG is requesting trajectory and fate analysis."
1140,10200,2020/11/16,"Sunken Vessel City Island Marina, Bronx, New York; 703 Minnieford Ave, The Bronx, NY 10464, USA","703 Minnieford Ave, The Bronx, NY 10464, USA",40.86,-73.79,Oil,,Diesel fuel,,,,,,100,0,"On November 16, 2020, the USCG Sector New York notified the NOAA SSC about a 30' pleasure craft that sank at the dock this morning. USCG reports that a noticeable sheen is coming from the vessel. NPFC opened to begin clean-up. An unknown amount of fuel is onboard. The cause is being investigated."
1141,10198,2020/11/10,"F/V Jimmy and Charlie Jr.; McIntosh County, GA, USA","McIntosh County, GA, USA",31.32166667,-81.255,Oil,,Diesel,,,,,,20000,0,"On November 10, 2020, the USCG notified the NOAA SSC that an 88-foot steel hull fishing vessel is grounded near the entrance to the Altamaha River on a sand bar. The vessel has a capacity of 33000 gallons and is thought to have 15000 gallons of diesel fuel onboard. No pollution reported at this time. Salvage plans are being developed and anticipated to begin tomorrow morning."
1142,10199,2020/11/09,"F/V Three Pigeons; Grand Isle State Park",Grand Isle State Park,29.2523,-89.9543,Oil,,N/A,,,,,,,0,"On November 10, 2020, the NOAA RRO was contacted by USCG Sector New Orleans requesting fate and trajectory for a potential release from a beached 70ft shrimping vessel F/V Three Pigeons. The USCG reported that the vessel was on fire and was purposefully beached at Grand Isle State Park with 3000 gallons fuel diesel fuel onboard."
1143,10197,2020/11/07,"FV LOBSTER MANIA; jonesport, maine","jonesport, maine",44.23916667,-67.63722222,Oil,,Diesel Fuel,,,,,,250,0,"At 11:30am on 7 November 2020, USCG Sector Northern New England notified the NOAA SSC that the FV LOBSTER MANIA, which was involved in a SAR case, is partially submerged and leaking diesel fuel, 17 nmi due east of Jonesport, Maine. Vessel has an estimated 500 gallons of fuel on board.  USCG requested a trajectory."
